iter	Passed	Remaining
969	224359	469535
970	224597	469318
971	224817	469063
972	225034	468802
973	225269	468578
974	225504	468355
975	225744	468142
976	225981	467921
977	226218	467702
978	226473	467520
979	226751	467386
980	226987	467162
981	227247	466991
